"exec","split","cudacores","numthread","time"
"bimage_cuda","0.3","64","100","23.834862538389"
"bimage_cuda","0.3","64","300","15.9812827216764"
"bimage_cuda","0.3","128","1","14.6105307348342"
"bimage_cuda","0.3","128","2","22.404394846093"
"bimage_cuda","0.3","128","3","29.3033566506654"
"bimage_cuda","0.3","128","4","29.9102542820268"
"bimage_cuda","0.3","128","5","32.4450246095512"
"bimage_cuda","0.3","128","6","32.3127355800378"
"bimage_cuda","0.3","128","7","31.5126877959238"
"bimage_cuda","0.3","128","8","31.4414983760466"
"bimage_cuda","0.3","128","9","30.0053109400364"
"bimage_cuda","0.3","128","10","32.0710694899898"
"bimage_cuda","0.3","128","20","35.4765925442393"
"bimage_cuda","0.3","128","30","33.1849963994279"
"bimage_cuda","0.3","128","40","28.3325179864268"
"bimage_cuda","0.3","128","50","32.2140040718501"
"bimage_cuda","0.3","128","100","25.9870757609882"
"bimage_cuda","0.3","128","300","15.7359878895837"
"bimage_cuda","0.3","192","1","14.2405311148485"
"bimage_cuda","0.3","192","2","21.7925379444406"
"bimage_cuda","0.3","192","3","29.067894365334"
"bimage_cuda","0.3","192","4","31.6918705070171"
"bimage_cuda","0.3","192","5","31.4600779475865"
"bimage_cuda","0.3","192","6","31.0687172710482"
"bimage_cuda","0.3","192","7","34.0789620911306"
"bimage_cuda","0.3","192","8","32.6563668485626"
"bimage_cuda","0.3","192","9","35.2931418954888"
"bimage_cuda","0.3","192","10","37.0220682378421"
"bimage_cuda","0.3","192","20","30.7715662522079"
"bimage_cuda","0.3","192","30","31.2809224952583"
"bimage_cuda","0.3","192","40","31.5274746177556"
"bimage_cuda","0.3","192","50","28.7439332335919"
"bimage_cuda","0.3","192","100","25.7622734691091"
"bimage_cuda","0.3","192","300","15.8630070709354"
"bimage_cuda","0.3","256","1","13.0428799896353"
"bimage_cuda","0.3","256","2","22.8115284902684"
"bimage_cuda","0.3","256","3","27.9581075716147"
"bimage_cuda","0.3","256","4","31.8447335710366"
"bimage_cuda","0.3","256","5","28.1831585899214"
"bimage_cuda","0.3","256","6","32.4251762038117"
"bimage_cuda","0.3","256","7","45.6969817905144"
"bimage_cuda","0.3","256","8","33.7846778602812"
"bimage_cuda","0.3","256","9","35.6755734699787"
"bimage_cuda","0.3","256","10","37.2072487161949"
"bimage_cuda","0.3","256","20","42.159760195284"
"bimage_cuda","0.3","256","30","35.0125549186512"
"bimage_cuda","0.3","256","40","30.0384191380776"
"bimage_cuda","0.3","256","50","29.3685181233125"
"bimage_cuda","0.3","256","100","24.7466050751163"
"bimage_cuda","0.3","256","300","15.5537403764472"
"bimage_cuda","0.3","512","1","15.42748797813"
"bimage_cuda","0.3","512","2","21.715762386128"
"bimage_cuda","0.3","512","3","30.0722937942815"
"bimage_cuda","0.3","512","4","32.8240858765617"
"bimage_cuda","0.3","512","5","28.7950564647061"
"bimage_cuda","0.3","512","6","31.6367260206799"
"bimage_cuda","0.3","512","7","32.920672701026"
"bimage_cuda","0.3","512","8","33.6581532107915"
"bimage_cuda","0.3","512","9","36.5182746575955"
"bimage_cuda","0.3","512","10","35.1126472244038"
"bimage_cuda","0.3","512","20","32.0442980376072"
"bimage_cuda","0.3","512","30","32.5939752209736"
"bimage_cuda","0.3","512","40","30.2024165960266"
"bimage_cuda","0.3","512","50","26.5288815511968"
"bimage_cuda","0.3","512","100","24.8815843929432"
"bimage_cuda","0.3","512","300","15.6703133226915"
"bimage_cuda","0.4","1","1","10.6180370010275"
"bimage_cuda","0.4","1","2","16.667588013893"
"bimage_cuda","0.4","1","3","17.144478520683"
"bimage_cuda","0.4","1","4","20.9821316167152"
"bimage_cuda","0.4","1","5","21.9189692239406"
"bimage_cuda","0.4","1","6","23.0119850253343"
"bimage_cuda","0.4","1","7","22.9088951421688"
"bimage_cuda","0.4","1","8","22.8089442994176"
"bimage_cuda","0.4","1","9","22.4385380394926"
"bimage_cuda","0.4","1","10","23.3593465612122"
"bimage_cuda","0.4","1","20","23.642096486548"
"bimage_cuda","0.4","1","30","21.4168762843433"
"bimage_cuda","0.4","1","40","20.7364050400524"
"bimage_cuda","0.4","1","50","18.2003052797872"
"bimage_cuda","0.4","1","100","13.7680045342628"
"bimage_cuda","0.4","1","300","10.3659885006634"
"bimage_cuda","0.4","64","1","17.0443699037334"
"bimage_cuda","0.4","64","2","24.3891335028649"
"bimage_cuda","0.4","64","3","31.4782996471807"
"bimage_cuda","0.4","64","4","35.7170495335949"
"bimage_cuda","0.4","64","5","32.6704143261945"
"bimage_cuda","0.4","64","6","35.0154564060486"
"bimage_cuda","0.4","64","7","33.4461024420672"
"bimage_cuda","0.4","64","8","36.5467911612804"
"bimage_cuda","0.4","64","9","41.1466191194624"
"bimage_cuda","0.4","64","10","37.6438937839893"
"bimage_cuda","0.4","64","20","42.7941742864071"
"bimage_cuda","0.4","64","30","30.65849856135"
"bimage_cuda","0.4","64","40","33.2691608186875"
"bimage_cuda","0.4","64","50","30.3134409797304"
"bimage_cuda","0.4","64","100","24.3434668423724"
"bimage_cuda","0.4","64","300","16.3799090587449"
"bimage_cuda","0.4","128","1","17.281668441398"
"bimage_cuda","0.4","128","2","24.2582239422201"
"bimage_cuda","0.4","128","3","32.648104042978"
"bimage_cuda","0.4","128","4","33.878035683735"
"bimage_cuda","0.4","128","5","33.5603504595531"
"bimage_cuda","0.4","128","6","31.929669581136"
"bimage_cuda","0.4","128","7","38.4023102829866"
"bimage_cuda","0.4","128","8","38.6492350028085"
"bimage_cuda","0.4","128","9","38.0819154695722"
"bimage_cuda","0.4","128","10","47.2281782202533"
"bimage_cuda","0.4","128","20","39.1391730284131"
"bimage_cuda","0.4","128","30","30.9357762972144"
"bimage_cuda","0.4","128","40","30.1915199065271"
"bimage_cuda","0.4","128","50","31.5907523337668"
"bimage_cuda","0.4","128","100","23.624409685063"
"bimage_cuda","0.4","128","300","16.0063086197707"
"bimage_cuda","0.4","192","1","15.538087867369"
"bimage_cuda","0.4","192","2","23.7783006361884"
"bimage_cuda","0.4","192","3","32.9971292497553"
"bimage_cuda","0.4","192","4","34.5585689987749"
"bimage_cuda","0.4","192","5","30.5732795651257"
"bimage_cuda","0.4","192","6","35.6754461957785"
"bimage_cuda","0.4","192","7","42.6980316919024"
"bimage_cuda","0.4","192","8","33.3859161512716"
"bimage_cuda","0.4","192","9","35.7109909502397"
"bimage_cuda","0.4","192","10","34.808316402955"
"bimage_cuda","0.4","192","20","36.8001530886368"
"bimage_cuda","0.4","192","30","30.3381029887582"
"bimage_cuda","0.4","192","40","30.4159379514866"
"bimage_cuda","0.4","192","50","30.6954672003585"
"bimage_cuda","0.4","192","100","25.9335427034681"
"bimage_cuda","0.4","192","300","14.9446413124185"
"bimage_cuda","0.4","256","1","17.0732130677235"
"bimage_cuda","0.4","256","2","22.9235907054009"
"bimage_cuda","0.4","256","3","30.507337014552"
"bimage_cuda","0.4","256","4","35.4487785827933"
"bimage_cuda","0.4","256","5","32.9977099589289"
"bimage_cuda","0.4","256","6","38.4649164702285"
"bimage_cuda","0.4","256","7","39.5001389088218"
"bimage_cuda","0.4","256","8","34.53082393999"
"bimage_cuda","0.4","256","9","36.5437193832151"
"bimage_cuda","0.4","256","10","40.9638241641502"
"bimage_cuda","0.4","256","20","38.7603409359589"
"bimage_cuda","0.4","256","30","32.326140587463"
"bimage_cuda","0.4","256","40","29.0717252760724"
"bimage_cuda","0.4","256","50","31.1320872196556"
"bimage_cuda","0.4","256","100","23.6278704909163"
"bimage_cuda","0.4","256","300","16.1448907071624"
"bimage_cuda","0.4","512","1","16.8613970679155"
"bimage_cuda","0.4","512","2","22.5511770774802"
"bimage_cuda","0.4","512","3","30.0713593357036"
"bimage_cuda","0.4","512","4","35.0647324181049"
"bimage_cuda","0.4","512","5","34.8638971561519"
"bimage_cuda","0.4","512","6","36.1690904980785"
"bimage_cuda","0.4","512","7","36.1229915616692"
"bimage_cuda","0.4","512","8","37.3339572252407"
"bimage_cuda","0.4","512","9","32.900815556383"
"bimage_cuda","0.4","512","10","33.4741852662258"
